交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2026/09/01,TX,202609  ,46000,47220,45987,47209,1232,2.68%,57627,47201,104368,47208,47215,49651,24962,,一般,,
2026/09/01,TX,202609  ,46126,46195,45788,45978,1,0.00%,25137,-,-,45970,45979,49651,24962,,盤後,,
2026/09/01,TX,202610  ,46188,47364,46188,47364,1248,2.71%,328,47362,1387,47367,47379,47364,39852,,一般,,
2026/09/01,TX,202610  ,46249,46333,45982,46140,24,0.05%,136,-,-,46130,46144,46789,39852,,盤後,,
2026/09/01,TX,202611  ,46447,47500,46433,47500,1196,2.58%,53,47536,45,47529,47543,47500,44435,,一般,,
2026/09/01,TX,202611  ,46420,46503,46181,46283,-21,-0.05%,41,-,-,46288,46304,46850,44435,,盤後,,
2026/09/01,TX,202612  ,46574,47350,46574,47350,940,2.03%,21,47649,397,47641,47657,50228,27382,,一般,,
2026/09/01,TX,202612  ,46500,46588,46271,46374,-36,-0.08%,28,-,-,46396,46414,50228,27382,,盤後,,
2026/09/01,TX,202703  ,46974,48017,46974,48017,1167,2.49%,8,48106,124,48093,48119,50802,32400,,一般,,
2026/09/01,TX,202703  ,47010,47010,46870,46870,20,0.04%,2,-,-,46834,46869,50802,32400,,盤後,,
2026/09/01,TX,202706  ,47457,48530,47457,48530,1176,2.48%,10,48597,74,48581,48614,51411,41461,,一般,,
2026/09/01,TX,202706  ,47508,47508,47278,47293,-61,-0.13%,5,-,-,47331,47404,51411,41461,,盤後,,
2026/09/02,TX,202609  ,46701,46746,46131,46189,-1012,-2.14%,46145,46165,105419,46182,46189,49651,24962,,一般,,
2026/09/02,TX,202609  ,47201,47343,46506,46679,-522,-1.11%,38354,-,-,46673,46684,49651,24962,,盤後,,
2026/09/02,TX,202610  ,46913,46913,46337,46365,-997,-2.11%,402,46365,1730,46379,46392,47481,39852,,一般,,
2026/09/02,TX,202610  ,47346,47481,46728,46888,-474,-1.00%,341,-,-,46870,46887,47481,39852,,盤後,,
